PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LISTING_ALERT|NEIGHBORHOOD|SF_TYPE|STYLE|LOT_SIZE|ACRE|SQUARE_FEET|GARAGE_SPACES|GARAGE_PARKING|BASEMENT|NO_ROOMS|NO_BEDROOMS|NO_FULL_BATHS|NO_HALF_BATHS|MASTER_BATH|LIV_LEVEL|LIV_DIMEN|LIV_DSCRP|DIN_LEVEL|DIN_DIMEN|DIN_DSCRP|FAM_LEVEL|FAM_DIMEN|FAM_DSCRP|KIT_LEVEL|KIT_DIMEN|KIT_DSCRP|MBR_LEVEL|MBR_DIMEN|MBR_DSCRP|BED2_LEVEL|BED2_DIMEN|BED2_DSCRP|BED3_LEVEL|BED3_DIMEN|BED3_DSCRP|BED4_LEVEL|BED4_DIMEN|BED4_DSCRP|BED5_LEVEL|BED5_DIMEN|BED5_DSCRP|BTH1_LEVEL|BTH1_DIMEN|BTH1_DSCRP|BTH2_LEVEL|BTH2_DIMEN|BTH2_DSCRP|BTH3_LEVEL|BTH3_DIMEN|BTH3_DSCRP|LAUNDRY_LEVEL|LAUNDRY_DIMEN|LAUNDRY_DSCRP|OTH1_ROOM_NAME|OTH1_LEVEL|OTH1_DIMEN|OTH1_DSCRP|OTH2_ROOM_NAME|OTH2_LEVEL|OTH2_DIMEN|OTH2_DSCRP|OTH3_ROOM_NAME|OTH3_LEVEL|OTH3_DIMEN|OTH3_DSCRP|OTH4_ROOM_NAME|OTH4_LEVEL|OTH4_DIMEN|OTH4_DSCRP|OTH5_ROOM_NAME|OTH5_LEVEL|OTH5_DIMEN|OTH5_DSCRP|OTH6_ROOM_NAME|OTH6_LEVEL|OTH6_DIMEN|OTH6_DSCRP|COUNTY|STATE|YEAR_BUILT|ASSESSMENTS|TAXES|TAX_YEAR|PARKING_FEATURE|NO_BATHS|YEAR_BUILT_DESCRP|CONSTRUCTION|ROOF_MATERIAL|COLOR|EXTERIOR_FEATURES|INTERIOR_FEATURES|FLOORING|LOT_DESCRIPTION|BASEMENT_FEATURE|ROAD_TYPE|HEAT_ZONES|HEATING|COOLING_ZONES|COOLING|ELECTRIC_FEATURE|WATER|SEWER|APPLIANCES|WATERFRONT_FLAG|WATERFRONT|WATERVIEW_FLAG|WATERVIEW_FEATURES|ADULT_COMMUNITY|SQUARE_FEET_INCL_BASE|SQUARE_FEET_DISCLOSURES|HOME_OWN_ASSOCIATION|FEE_INTERVAL|TOTAL_PARKING|SHORT_SALE_LENDER_APP_REQD
SF|72767998|TM330990|AN6192|ACT|2200000|266|Commercial St||1|106|02110|U|Development Opportunity. Currently a commercial/retail building. This is a unique, one of a kind opportunity at Boston's Waterfront facing the Harbor with beautiful water views!  Create a multifamily/single family or luxury condominiums. The property is zoned as both Commercial and Residential. It was a restaurant/bar and can still be used in that capacity however, it would make a great residential development and is surrounded by luxury condominiums. A detached building offering a wide floor plan, floor to ceiling windows, existing commercial kitchen and bathrooms. Building was measured by an Architect reflecting total gross sq footage of  4254SF. Windows exist on both sides of building but have been covered and can be brought back in use. Steps to the North End, restaurants, shopping and transportation.|13|12/17/2020 6:19:00 PM|0|N||A|P|1568|0.04|4254|0||Y|7|0|0|3|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Suffolk|MA|1899|1430700|35653.04|2020||0f;3h|A|||||||K||||A||A||A|A||Y|G|Y|F||||||0|U
SF|72775060|CN239532|AN1889|ACT|283000|52|Nelson St||1|002|02124|Y|List Price : 384250. Looking for a great opportunity?  Look no more!  This property has tons of potential, this home is average in living space size for the neighborhood.  This  home has tons of character and charm. *** Title 5 is buyers responsibility AND seller makes no guarantees about any prior title 5 results, nor does seller guarantee accuracy whether property is on public sewer or private septic. Buyers/agents are responsible to perform their due diligence prior bidding ***|22|1/14/2021 3:34:00 PM|0|N||A|A|4500|0.1|2499|0||Y|10|5|2|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Suffolk|MA|1920|374000|3949|2020|A|2f;0h|B|||||||K|Q|A||S||G|I|H|F||N|||||||||1|N
SF|72779054|TM309563|AN6192|ACT|4299000|141|West Newton Street||1|104|02118|N|Come visit this pristine, sun-filled SF home in the middle of a coveted block in the South End. Fantastic ceiling height, large windows, gas fireplace and custom built-ins on a completely wide open parlor floor make for a striking entertaining space. The chef's kitchen, featuring Sub-Zero /Miele /Wolf appliances, has a spacious walkout terrace with a gas line for grilling. The kitchen leads right into the open dining area that can host large parties. There are two large guest rooms with generous closets and a full marble bath with W/D. The expansive master bath has marble floors, Ann Sacks tiles and Kallista faucets. There is a cedar walk-in closet and the bedroom space is large enough for a King-sized bed. There is a full staircase to the roof deck which offers 360 degree views of the city, Sonos speakers, water and lighting. There is also a 4th BR suite on the garden floor with a kitchenette, family room and separate entrance leading to an outdoor area & parking with electric charger|24|1/26/2021 5:57:00 PM|0|N||B|H|1224|0.03|3457|0||N|10|4|3|1|Y||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Suffolk|MA|1880|3083100|32558|2020|A|3f;1h|B|B|G||C,2,D,G||C,M|S||A|2|B|2|A||A|A|B,C,D,I,J,K,L|N||N||N||Does not include the four private outdoor spaces|N||1|N
SF|72784190|CT001139|BB5919|ACT|6600000|59|Mount Vernon St||1|102|02108|U|A paragon of timeless beauty with a rich heritage, this admired landmark residence built in 1837 presides atop picturesque Mount Vernon Street on the crest of Beacon Hill, benefitting from the southerly sunlight and large, lush garden that graces its grand Greek Revival frontispiece. Designed by architect Edward Shaw for prominent merchant Adam W. Thaxter, Jr., this rare jewel has been carefully restored and enhanced as a comfortably refined home of extraordinary character, notable for its splendid details and graceful ensemble of living/entertaining rooms. Striking Ionic pilasters adorn the bow-front sitting room. Other highlights include 14 fireplaces, double parlors, a dramatic curvilinear staircase, and top-floor octagonal observatory room commanding 360-degree city vistas. Opening to a captivating garden terrace, the dine-in gourmet kitchen is bright and airy below a peaked skylight. Served by an elevator, the home offers a versatile layout with the bedrooms on various levels.|42|2/10/2021 8:57:00 AM|0|N||A|V|3667|0.08|6860|1||Y|22|6|4|1||2|15X23|C,K,11,67|1|15X23|W,K,N,67||16X22|C,W,M|1|12X27|F,W,9,O,U,5,41,48,51,60,64|3|16X22|C,I,W,K,74|3|16X19|C,I,K,74|4|16X25|G,I,W,M,X|4|16X14|C,I,K,74||16X19|C,V,M|2||A,21,C,W,L|3||21,W,3|4||A,22,7|4||W,7|SIT|1|15X23|C,M,2,67|EHL|1||I,K,58,74|OTH|2|15X20|C,K,67|LIB|2|13X15|C,W,M,74|STU|3|12X13|C,V,W,M,74|HMO|1|13X7|W,K|Suffolk|MA|1837|7765200|82001|2020|D|4f;1h|B|B|D,G|Brick|D,O,S,T,U,3,14|C,W|C,D,E,J,M,Q|M|A,Q,R|A|3|B,D,H,N|3|A|A,D,H|A|A|A,C,D,F,G,I,J,K,L,V,Y|N|||||||||1|U
SF|72787175|BB983373|AN0125|ACT|950000|116|Eutaw Street||1|56L|02128|N|RARE Opportunity! Eagle Hill - Located on a one-way street, this unique & lovingly maintained 5 bdrm / 2 bath home is not to be missed. Featuring a beautiful & updated  additional 4-room, 1 bdrm / 1 bath In-law with separate entrance.  Parking in Eastie??? Not an issue here as this place features two separate driveways. Bonus! How about a quaint yard providing you wonderful open-air space. Newer roof and heating system and new stove top ordered and awaiting delivery.  ***Property has two addresses on the street (114 & 116 Eutaw).|14|3/26/2021 5:05:00 PM|0|N|Eagle Hill|A|A|2800|0.06|1882|0||Y|12|6|3|0|Y|1||||||1|||1|||1|||1|||1|||2|||2|||1|||2|||B|||2|||LAW|B|||BTH|B|||BED|B|||||||||||||||Suffolk|MA|1900|522200|5571.88|2021|A,D|3f;0h|D||A|White|D||C,M|C,P|A,D,F|A,E||N||B|D|A|A||N|||||||N||2|N
SF|72789616|BB901556|BB5758|ACT|985000|60|Beacon Street||1|006|02136|N|Don't miss this grand Fairmont colonial, beautifully restored and impeccably maintained. Period details abound, many built-ins, gorgeous fireplaces, stain glass and multiple porches. Beautifully kept hardwood floors throughout. Wonderful entry way opens up to the charming double living rooms and elegant dining room. Steps from the modern kitchen is a sunny and bright  breakfast room to enjoy your morning coffee.  A beautifully painted half bath completes the first floor. The second floor has 4 spacious bedrooms. The master bedroom has a dressing room with a Jacuzzi and an ensuite bath. The second full bath has a period built - in cupboard for additional storage. The attic has a separate heating system and 2 additional finished rooms with lots of nooks and crannies. The basement has a full kitchen and a half bath. This is the perfect home for our new normal: living and working all under one roof.  Lovely yard with mature plantings. Two car garage. Near Cleary Square and the commuter|42|5/14/2021 3:46:00 PM|0|N|Hyde Park Fairmont Hills|A|A|20956|0.48|3565|2|B|Y|9|4|2|2|Y|1||C,K|1||C,K|1||C,K|1|||2||A,K|2||K|2||K|2||K||||1||B|2||A|2||A|B|||||||||||||||||||||||||||Suffolk|MA|1886|793000|8374|2020|A|2f;2h|A|A|A||A,B||A,C|U|A,E|A,C,E|3|D,F||H|D|A|A|A,C,I|N||N|||||||6|N
SF|72792568|BB904054|BB5984|ACT|9950000|31|Chestnut Street||1|102|02108|N|31 Chestnut Street, a classic, Greek Revival home, rich with history yet existing comfortably in Bostons 21st century, boasts an exceptionally rare combination of features and amenities that afford the owner with a stunning showplace in our Citys most storied neighborhood. The main entertaining level features a grand living room offering spectacular views overlooking Chestnut Street with a glimpse to the Common and leads to a formal fireplaced dining room with adjoining Butler's Pantry.  A spacious great room with a one-of-a-kind skylight/cupola opens to the homes two-tiered patio. The third floor is dedicated to the expansive master suite with walk-in closet, his and her baths and separate studies.  The garden level functions as an oversized au pair suite with open living/dining area, kitchen and access to the lower level of the homes picturesque patio. Grand in every facet, this home is located steps from the shops and restaurants of Charles Street, Public Garden, and the Common.|23|3/3/2021 1:41:00 PM|0|N||B|V|3166|0.07|8979|0||Y|15|9|6|1|Y||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Suffolk|MA|1805|8529900|94820.78|2021||6f;1h|B|B|||D|||K|A|||B||A||A|A||N||N|||||N||0|N
SF|72793781|CN201231|AN3774|ACT|649000|19|Grimes St||1|005|02127|N|Opportunities to put your vision to work on a single family in the city do not come often. This home has potential to be transformed into one of the finest in the area. Set on a quiet city street, this home boosts an open concept that was ahead of it's time. Why pay condo fees when you can own a Single family? Why not put your own personal style and taste to work on this blank canvas. The former owner created an open concept and kept great features such as exposed brick along bearing walls and adding windows in mindful places maximizing natural sunlight. This space offers a unique opportunity to maximize square footage. Potentially adding the kitchen of your dreams, whether adding a pantry and/or an island or whatever else your heart desires that meets your wants and needs, Your options are endless at this single family home located on a shorter one way street.|12|5/27/2021 2:14:00 PM|0|N||B|A|834|0.02|1277|0||Y|6|4|1|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Suffolk|MA|1890|503900|5376.62|2021||1f;0h|A|||Blue|||A|S|A,G||2|D|0|H||A|A||N|||||||||0|N
SF|72795346|CN202794|AN0499|ACT|6350000|86|Chestnut St||1|102|02108|N|New Construction Flat-of-the-Hill single family - This bright and open loft-like townhouse boasts abundant natural light, unusual oversized windows & an ideal layout with kitchen, living & dining on the first floor open to an enormous enclosed garden. Elegant marble kitchen offers a massive island with breakfast bar, SubZero/Wolf appliance package, under counter microwave + ample storage. A front facing dining space enjoys views of Chestnut St and offers a light well to the garden level. Large south facing living room with walnut built ins and direct access to the garden. Lower level family room has tall ceilings, radiant heated floors, additional laundry + storage. 4 bedroom suites including a 2nd fl front facing master with 3 closets and a magnificent marble slab bath. Private study on 2nd fl offers a wall of windows and access to the private deck. This beautiful and unique townhouse is bright and airy and offers excellent usable outdoor space! Rental Garage Parking included!|25|3/9/2021 12:18:00 PM|0|N||B|A|1|0|3607|1|B|Y|10|4|4|1|Y||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Suffolk|MA|1899|3256700|35085.81|2021|A,B|4f;1h|B|A|||9,E,G||A,C,J|P,K|A|||A||A||A|A|A,C,D,F,I,J|N||N||||Includes finished basement|N||1|N
SF|72796022|CN231637|BB5918|ACT|2600000|3|Claremont Street||1|104|02116|N|A South End gem located on the Corridor Park with exposures on three sides. Currently configured as an owners triplex, plus an adorable separate garden level studio for your au pair, extra income, or to be incorporated into the main house.The front entry level is accessed through the oversized garden which faces the park park with its 52 acres of bike paths, manicured gardens, and pedestrian walkways.  This level can be configured as a guest suite (with full bath), a den and separate bedroom, or as a spectacular home office. The main living space on the second level is an open plan concept that includes kitchen, dining, and living areas.  Special features on this level include a fireplaced living room overlooking the park, built in bookcases, and a large deck off the kitchen.  On the top level, the owners suite features custom built-ins, a beautiful skylit bathroom, and a separate bedroom that can be used as a nursery or private owners study. Three deeded parking spaces included!|16|3/10/2021 12:20:00 PM|0|N||B|H,Q|1079|0.02|2473|0||Y|9|4|3|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Suffolk|MA|1880|2245400|11474|2021|A|3f;0h|A|B|G||C,D,14|D|M|A,M|A,D,G,R|A,C||B,E,N||A||A|A||N||||||2 fam|N||3|N
SF|72796557|BB803059|AN4643|ACT|4499000|68|Pinckney St||1|102|02114|N|Imagine being in the very heart of Beacon Hill and everything it has to offer while enjoying full privacy and 3 fabulous outdoor spaces. This classic South Slope city townhouse is steps from Louisburg Square and features a sprawling roof deck with stunning city views, an oversized dining deck and an enclosed brick garden. There is a glorious front foyer that welcomes you, elegant and appealing in its design and function. Walk into a fabulous open first floor layout with high ceilings, a large contemporary kitchen built for serious chefs and hanging out. A large dining room and living room have been so beautifully appointed, they look straight out of a magazine. Upstairs, find a family room and library plus a huge deck waiting for summer dinners. Large master with walk in closet, full garden-level bedroom, bath and playroom that could be an au-pair or in-law suite. This home has so much to offer and has been gorgeously designed, come see.|41|3/29/2021 10:42:00 AM|0|N|Beacon Hill|B|H|1458|0.03|3799|1||Y|10|4|3|1|Y|1||K|1||K|2||K,35,65,74|1||U,25|3||A,I,K|4||K|4||K|B||A,M|||K||||||||||2|||LIB|2||K|PLY|B||M|||||||||||||||||Suffolk|MA|1899|4536300|47903|2020|B,D|3f;1h|B|B|D,G||C,2,E,3||A|M|A|A|3|D|2|A||A|A|A,B,C,I,J|N||N|||||||1|N
SF|72798557|CN229294|NB4498|ACT|950000|20|Nancia St||1|05S|02128|N|ZONED AS TWO FAMILY! Waterfront corner lot with views of the Boston skyline. Great investment opportunity. 3 bed 2 bath with finished in-law apartment on lower level heated garage hardwood floors throughout. Newer heating system. SHOWINGS BY APPOINTMENT! OPEN HOUSE SATURDAY APRIL 24TH 12PM-2PM|3|3/15/2021 8:41:00 PM|0|N||A|E|3751|0.09|1988|1|C|Y|6|3|2|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Suffolk|MA|1958|474200|5008|2020|A|2f;0h|A||||||E,M|A,W|A,D|||B||A||A|A||Y|G|Y|A,F||||||5|N
SF|72801738|TEAM0486|AN2801|ACT|599888|115|Woodrow Ave|1|1|002|02124|N|Amazing opportunity to own this dazzlingly beautiful home being constructed!! Luxury home loaded with custom options for its buyer! Hurry! Theres still time for new buyer to pick out the style and color of the kitchen cabinets!! This breathtaking abode will captivate your imagination and desire to live in comfort with the plethora of amenities it has to offer. From the single-family/townhome living with private parking to the modern quality finishes, this home promises not to disappoint!! Amenities comprise open concept, 4 large bedrooms and family room sprawling over 4 levels of living space with a tastefully-designed bath on each above-ground level, including an impressive master en-suite bath!! Plenty of space throughout, central heat and air, hardwood floors, stainless steel appliances, tons of closet space, laundry facilities and off-street parking!! This new home offering is like no other currently available on the market! Just in time to start the spring season on a high note!!|3|4/5/2021 11:28:00 AM|0|N||B|D,Q|9999|0.23|2548|0||Y|8|4|3|1|Y|1|||1|||B|||1|||3|||2|||2|||3||||||1|||2|||3|||B|||BTH|3|||||||||||||||||||||||Suffolk|MA|2021|999999|9999|9999|A|3f;1h|A||||||M|A|D|||A||A|D|A|A||N||||||Finished Basement Area|||1|N
SF|72801739|TEAM0486|AN2801|ACT|599888|115|Woodrow Ave|2|1|002|02124|N|Amazing opportunity to own this dazzlingly beautiful home being constructed!! Luxury home loaded with custom options for its buyer! Hurry! Theres still time for new buyer to pick out the style and color of the kitchen cabinets!! This breathtaking abode will captivate your imagination and desire to live in comfort with the plethora of amenities it has to offer. From the single-family/townhome living with private parking to the modern quality finishes, this home promises not to disappoint!! Amenities comprise open concept, 4 large bedrooms and family room sprawling over 4 levels of living space with a tastefully-designed bath on each above-ground level, including an impressive master en-suite bath!! Plenty of space throughout, central heat and air, hardwood floors, stainless steel appliances, tons of closet space, laundry facilities and off-street parking!! This new home offering is like no other currently available on the market! Just in time to start the spring season on a high note!!|3|4/5/2021 11:29:00 AM|0|N||B|D,Q|9999|0.23|2548|0||Y|8|4|3|1|Y|1|||1|||B|||1|||3|||2|||2|||3||||||1|||2|||3|||B|||BTH|3|||||||||||||||||||||||Suffolk|MA|2021|999999|9999|9999|A|3f;1h|A||||||M|A|D|||A||A|D|A|A||N||||||Finished Basement Area|||1|N
SF|72804161|CT005585|AN3697|ACT|1439000|32|Maxfield St||1|04T|02132|N|Gracious Queen Anne Victorian in sought-after Bellevue Hill, spectacularly renovated to meet the needs of modern living. With 5 bed 3.5 bath, home office & heated sunroom, this house has it all! The entryway features a custom built-in mudroom, the welcoming foyer leads to an elegant living room with coffered ceilings & dining room with original pocket doors. Soaring 9ft ceilings & bow windows fill the home with natural light. An open floor plan features a gourmet chef's kitchen with Thermador appliances, farmers sink, huge island & quartz countertops opening to a sunroom with vaulted ceiling, deck & fenced in yard. The elegant master suite features a custom walk-in closet with barn doors, master bath with double vanity & shower. 2 large bedrooms with ample closets, laundry room & full bath complete the 2nd floor. The 3rd floor features a home office, a full bath & 2 huge bedrooms, one with an amazing loft space. Close to the commuter rail & Centre St. See the Matterport virtual tour.|39|3/25/2021 2:19:00 PM|0|N||A|A|5000|0.11|2943|1|B|Y|11|5|3|1|Y|1|13X15|29,9,N,47,55|1|13X14|9,N||||1|25X16|9,U,5,44,47,51,59|2|13X16|I,9|2|13X15|V,9|2|13X12|V,9|3|13X23|V,9,47|3|22X14|V,9,47|2|9X8|A,14,19,3|2|7X9|A,20,3|3|6X8|A,19,3|2|9X5|L,39,57|BTH|1|3X5|B,3|LOF|3|9X9|9,47|||||||||||||||||Suffolk|MA|1910|672800|7616|2021|N|3f;1h|D|A|A||A,7,M,S,W|D|A,C,I,M|C|Q|A,C,E,I|2|B,N|2|A|D,H|A|A|A,C,D,F,P,Q,Y|N||N|||||||5|N
SF|72805420|CT003644|AN0499|ACT|11950000|60|Beacon St||1|102|02108|N|Contemporary luxury meets exceptional historic details in this Beacon Hill Townhouse! With over 5500+ sf of impeccably renovated living space with architecture, design and interiors by David Hacin + Associates, this property is in a class of its own! With a commanding presence overlooking the Boston Common and Back Bay Skyline, this home comprises 5 bedrooms and 5.5 baths and has graciously proportioned rooms that create an inviting living and entertaining environment. The kitchen and family room spaces open directly onto a spectacular deck and patio with landscaped private garden space, allowing for easy indoor/outdoor living. The high level of sophisticated craftsmanship, elevator, large garage (2-4 cars/storage depending on size) and intricate details throughout, make this home a rare find indeed! This home is ideally situated in the heart of Beacon Hill and is in the center of everything Boston has to offer!|37|3/29/2021 1:20:00 PM|0|N||B|H|2900|0.07|5636|2|B,E|Y|12|5|5|1|Y||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Suffolk|MA|1825|8649700|91341|2020||5f;1h|A||||C,E,G,3,14|W|A,C,J|M|A,D,F|||H||A||A|A|A,C,D,F,I,K,L,Q|N||N|||||||4|N
SF|72805553|NB110095|NB1079|ACT|2850000|83|Myrtle St||1|102|02114|N|This four story mid 18th century townhouse is situated on lovely Myrtle Street amongst many other single family homes. The house lends itself well to family living with four bedrooms, a spacious living room, a study, a formal dining room, a basement for storage, a roof deck, heated gutters, and central a/c. An au pair apartment with a separate entrance overlooks the garden.|16|3/29/2021 4:57:00 PM|0|N||B|A|960|0.02|2938|0||Y|9|4|3|1|Y||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Suffolk|MA|1890|2666800|25544|2021|D|3f;1h|B||||2,14||A,M|S|A|||N||A||A|A||N|||||||||0|N
SF|72806084|TEAM0361|BB9067|ACT|584900|1162|Morton St||1||02126|U|A rare opportunity to capitalize from the bones of this classic Colonial and make it the home you've been waiting for! Situated on a picture perfect corner lot, this property provides you with a detached two car garage, two additional off-street spots, three ample levels of living space, tasteful wood beamed ceilings, a spacious basement with washer/dryer hookups and the rest you'll see when you check it out for yourself! The main level consists of the kitchen, dining room, living room/sunroom and a half bath in the kitchen. The second level houses the master bedroom with its own balcony, two sizable bedrooms and a full bath. Walk up to the third floor where you will find a massive bonus room with an abundance of storage space. You can transform this space into another bedroom, family room, office, game room, the possibilities are endless. Very central location, property is in close proximity to public transportation, major routes/highways, schools, shopping centers, etc.|21|4/11/2021 12:02:00 AM|0|N||A|A|4556|0.1|1572|2|B|Y|7|4|1|1||1||28,K|1||K||||1||B,L,2,35,41|2||K,P|2||K|2||K|||||||1||B,L|2||A,L|||||||BNS|3||M|||||||||||||||||||||Suffolk|MA|1925|417500|4409|2020|A|1f;1h|B|A|A||A,7||C,E,M|A,C|A,G,M,Q,R|A||E,F||H|D|A|A|A|N|||||||||4|N
SF|72806593|BB805031|BB5200|ACT|5989000|27|Hereford St||1|101|02115|N|Meticulously renovated Back Bay townhome featuring beautifully appointed interiors and oversized private patio. Located 1 block from Back Bay's most sought after Newbury St. shopping and dining experience, this single-family residence offers 5+ bedrooms and 3.5 baths over 4 levels, including a garden level in-law suite with modern full kitchen ideal for au pair, guest or family room use. The formal living and dining rooms feature elegant fireplaces and share the parlor level with gourmet eat-in kitchen with stainless appliances, Sub Zero fridge and granite countertops. The 2nd floor features the master suite with walk-in dressing room and a family room with a fireplace. 2 generous bedrooms on the 3rd floor and an updated bathroom. Additional features of this beautifully styled home include multiple home offices, laundry room in both the basement and 2nd floor. Architectural details, high ceilings, and high-quality finishes add deep character to this timeless property. 2 Deeded Parking.|27|6/3/2021 6:02:00 PM|0|N||B|Q,P|1557|0.04|3737|0||Y|14|5|3|1|N|1|13X27|C,K,2,27,44,47,48|1|13X22|C,K,N,2,25,27,44,47,48|B|13X27|L,8,27,44,47,48,60|1|10X12|W,L,O,U,33,2,5,25,26,44,47,48,51|2|13X20|C,I,V,W,K,N,27,37,48|2|13X20|C,V,W,K,27,48|3|13X15|I,V,W,K,48|3|13X21|V,W,K,27,48|B|10X12|W,L,N,27,47,48|2|8X9|A,21,W,3,48,57|3|8X8|A,21,W,L,U,33,26,48|B|||2||L,39,47,48,57|FOY|1|7X13|K,3,X,2,44,48|||||STU|2|7X11|W,K,44,48|HMO|3|8X11|K,44,48|HMO|3|7X11|K,44,48|BTH|B|6X7|21,L,44|Suffolk|MA|1879|3411100|36749.73|2021|C,I|3f;1h|A,D|A,B|G|Brick|D,E,M,S,T,U,V,W,14,21|C,D,J,K|C,J,M|M|A,D,F,G,R|A,C,E,I|2|A,B,N|2|A|D|A|A|A,C,D,F,I,J,K,L,P,R,S,T,V,Y,2,4,5|N|||||Y||N||2|N
SF|72807527|NB111594|AN2383|ACT|4995000|37|Branch Street||1|102|02108|N|Welcome to 37 Branch Street, a luxury five story townhome in Beacon Hill. At 3,800 SF this home features 4 bedrooms, 5.5 bathrooms and two private decks. The custom Poliform kitchen blends old world materials with modern design complete with Miele appliances, matte stone lacquer base cabinetry, bronze frame glass hanging wall cabinets, spessart oak cabinetry and stone countertops. The master bathroom features Dornbracht plumbing fixtures, Sonneman sconces, Aquia one-piece, Robern Cartesian grey glass vanity, pure white Caesarstone countertop, textured Carrara floor and shower tile, Estatuario Neolith walls, and Nuvlato Bardiglio shower accents.|19|4/1/2021 5:59:00 PM|0|N||B|Q|0|0|3800|0||Y|9|4|5|1|Y||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Suffolk|MA|1899|9999|9999|9999|D|5f;1h|A|B|G||2,D|||K|A,D|||A||A||A|A||N||N||N|||Y||0|N
SF|72808405|TM335857|M80002|ACT|5940000|16|Charles River Sq||1|102|02114|N|Come enjoy this rare offering! Highly desirable single family residence; on a quaint Beacon Hill Square! This renovated home has kept its historic charms. It is Bright, Warm, Welcoming, and Magnificently Unique with its brick arched exterior architecture and an interior that boasts high ceilings, hard wood floors, a kitchen with a breakfast nook, 5 bedrooms, 4.1 bathrooms and an au pair/in law suite on the lower level with its own independent entrance from Revere St. On the first floor you will find a mudroom, a foyer, the kitchen and the dining room. The second floor offers an oversized living room with cathedral ceiling, a master bedroom and master bath and an office with its original wood panels. The top floor offers 3 large bedrooms, 2 full bathrooms and access to the roof top. 2 Parking Spaces! Close to the Esplanade where you will find pedestrians and bike paths, playgrounds, sports fields, but also to the Boston common, the Public Garden, MGH, the red line and Logan Airport!|42|4/5/2021 6:58:00 AM|0|N||B|2|1980|0.05|4318|0||Y|11|5|4|1|Y|1|12X10|C|1|16X17|C,K|2|43X17|C,E,F,28,K,Q,47|1|18X7|K,25|2|18X13|A,C,K|3|17X12|K|3|14X12|K|3|18X12|A,K|2|18X9|C,K,55|2|13X7|A,19,4,48|2|6X5|B,39,57|3|6X4|A,20,4|B|11X5|40,57|BTH|3|6X3|A,20|BTH|B|7X5|19|LAW|B|16X12|L|CHL|B|17X7|L|||||||||Suffolk|MA|1908|4961800|52397|2020|I|4f;1h|A|B|G|Red Brick|2||C,M|A|A,D|B||D||A||A|A|A,D,I,R,T|N||N||N|||||2|N
SF|72809091|BB807262|M95266|ACT|1395000|55|Brucewood Street||1|009|02132|N|Welcome to Brucewood by the Park, Boston's First Certified PASSIVE HOME In Prime West Rox Neighborhood. 3 Stunning Modern Homes To Be Built To The Highest Standards w/3rd Party Performance Certification, Featuring 4 Beds, 2.5 Baths & 2540 S/F. Enter Through The Main Foyer, Which Flows Into The Open Floor Plan Living/Dining Rm w/Vaulted Ceilings, Floor-To-Ceiling Windows/Walls Of Glass & Custom Millwork; As Natural Elements Are Weaved Throughout Connecting The Interior Spaces To The Outdoors. Spectacular Eat-in Kitchen w/Top Of Line Appliances, Granite Counters, Island, Custom Cabinets, Tray Ceiling & Direct Exterior Patio Access. 1/2 Bath & MudRm Off The Garage Complete The Main FL. The 2nd FL has 4 Spacious Beds w/Cathedral Ceilings, Including A Master Suite W/Walk-In Closet & Master Bath. 2nd Full Bath w/Laundry Complete the 2nd FL. Beautiful Back Yd & Hynes Field Pk Down The St. Near Schools, Shops, Commuter Rail & Conservation Land. Net Zero/Net Positive Ready. (Only 2 Homes Left.)|13|4/13/2021 10:15:00 PM|0|N||A|D|6000|0.14|2540|1|A,E|N|10|4|2|1|Y|1|15X15|W,L,2,44,47,48|1|17X15|F,W,L,2,44,47,48||||1|20X15|L,O,T,U,2,5,41,44,47,48,51,63,77|2|13X11|A,72,I,W,K,47|2|11X10|72,V,K,47|2|11X11|72,V,K,47|2|11X11|72,V,K,47||7X5||1|11X6|B,2|2|11X6|A,24,36|2|11X6|A,24,36|2|||FOY|1|8X7|9,2,41,44|MUD|1|14X7|2,41|||||||||||||||||Suffolk|MA|2021|167400|295.81|2021|A|2f;1h|E|A|A|Wood/Brown|D,M,S,T,V,W,14,21|D|A,C|C,N||A,E|2|A,O,Z,9|2|A,U|H|A|A|D,F,M,P,R,S,T,Y,2|N||||||Not including 22 x 14 Garage or 135 S/F stair opening on 2nd FL. Gross Area is Approx. 2800 S/F.|||3|N
