PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LISTING_ALERT|NEIGHBORHOOD|MF_TYPE|NO_UNITS|NO_FLOORS|TOTAL_RMS|GARAGE_SPACES|PARKING_SPACES|LOT_SIZE|ACRE|SQUARE_FEET|COUNTY|STATE|YEAR_BUILT|ASSESSMENTS|TAXES|TAX_YEAR|TOTAL_BRS|TOTAL_FULL_BATHS|TOTAL_HALF_BATHS|BASEMENT_FEATURE|NO_BATHS|WATERFRONT_FLAG|WATERFRONT|WATERVIEW_FLAG|WATERVIEW_FEATURES|BASEMENT|ADULT_COMMUNITY|SQUARE_FEET_INCL_BASE|SQUARE_FEET_DISCLOSURES|ELECTRIC_FEATURE|ROAD_TYPE|SHORT_SALE_LENDER_APP_REQD
MF|72631584|CN225359|AN4012|ACT|475000|120|Mill St||839||01109|N||22|3/11/2020 11:30:00 AM|0|N||G|2|3|13|0|6|22215|0.51|5193|Hampden|MA|1910|167800|3302.3|2019|7|3|1||3f;1h|N||||Y||||A,D|A|N
MF|72653323|BB300019|AN3565|ACT|1050000|28-32|CALVARY STREET||40||02453|N|New Virtual Walk-through for units 30 & 32 Now Available! OFFERING LARGE 3-FAM TOWNHOUSE STYLE UNITS WITH LARGE ROOMS AND 9ft+ CEILING HEIGHT. PERFECT CONDO CONVERSION PROJECT ON HIGHLY DESIRABLE SOUTH SIDE! FIND NEW CONSTRUCTION ON STREET. HUGE OPPORTUNITY TO TAKE ADVANTAGE OF REAR YARD FOR POSSIBLE EXPANSION, GARAGE SPACE, OR EXTENDED PARKING LOT. PARTIALLY RENOVATED 32 CALVARY HAS NEW ANDERSEN WINDOWS, PAYNE CENTRAL H-VAC SYSTEM, RINNAI TANK-LESS GAS-HOT WATER SYSTEM & MUCH MORE. 30 CALVARY VACANT. 28 CALVARY RENTED TAW. SELLING AS IS. LOCATED IN RIVERFRONT OVERLAY DISTRICT. ZONED INDUSTRIAL. MANY POSSIBILITIES.  *BUYER TO DO ALL DO DILIGENCE*|39|11/24/2020 8:53:00 AM|0|N||I|3|2|18|0|4|9563|0.22|3702|Middlesex|MA|1860|670600|8489.8|2019|8|3|2|A|3f;2h|N||N||Y|N|||D|A|N
MF|72662804|NB115260|AN2213|ACT|245000|89|Beech Street||858||01040|N|Recently appraised at $275,000. Great investment property in Holyoke. All units are rented making $2975 per month. 14.57% gross cap rate. Don't miss out on this great opportunity for a great rental property, or live in one unit and keep the other units rented to live for free! All units are rented month-to-month, however tenants can sign year leases.|17|4/25/2021 4:12:00 PM|0|N||B|3|3|13|0|0|5500|0.13|2760|Hampden|MA|1890|107100|2043.47|2020|7|3|0|A,G,I,Q|3f;0h|N||||Y||||||N
MF|72677701|BB900300|BB1495|ACT|1150000|22|Anita Ter||1|FHL|02119|N|Location! Location. Walking to Subway, Universities, Hospitals, and Down town Boston. Minutes to 93& Mass turnpike Highways and  Logan Airport.   6 bedrooms 3 bats, driveway and parking. do not miss the opportunity for a great investment. Call for more info|14|6/21/2020 8:28:00 AM|0|N||B|3|3|12|0|2|1837|0.04|3147|Suffolk|MA|1900|701900|7412|2020|6|3|0||3f;0h|N||N||Y|||||A|N
MF|72698217|BB807932|AN0120|ACT|760000|1012|N Shore Rd||20||02151|N|motivated seller Property  would  be  delivered empty at closing, Location, short walk to the beach,  this is a great investment opportunity for First time home buyer or investor  good rental income.  Private back yard, parking for 7 to 8 cars  easy  access to Boston, near  train station   fully renovated,  newer roof, hardwood floors,  EASY TO SHOW|6|7/31/2020 4:40:00 PM|0|N||A|2|2|10|0|8|3400|0.08|2262|Suffolk|MA|1920|408200|4596|2020|7|2|0|A|2f;0h|N||N||Y||||||N
MF|72699295|NB113909|NB4697|ACT|399900|514-516|Parker Street||465||01440|N|Beautiful two family duplex with garages, 2007 Construction, great floor plans, Outstanding yard for children or dog. Spacious living for small family. A must see. Both Units are currently rented but a great opportunity to buy. Due to the COVID 19 threat and risk all showings will be postponed until a later date.  Seller will review all offers subject to contingencies.|14|7/28/2020 10:23:00 AM|0|N||A|2|2|11|2|4|20000|0.45|2600|Worcester|MA|2007|237800|4157.24|2015|5|3|1|A,I,M|3f;1h|N||Y||Y|N|||G|A,C,I|N
MF|72705712|TM341994|AN0930|ACT|679900|149-151|Hull St||201||02025|N|Fantastic two family, with two car garage, and a great yard, close to shopping, beaches, commuting. Great opportunity to live and still have income!!|13|8/6/2020 10:40:00 PM|0|N||F|2|1|10|2|4|27370|0.63|2767|Norfolk|MA|1830|369100|4787|2020|7|2|2|A,F|2f;2h|N||N||Y|||||A|N
MF|72707649|C7443304|BB3558|ACT|649900|149|High Street||329||01938|N|This is the last lot available on this stretch of HB zone neighborhood.  Location! Location! Location! Limited Multi Family opportunities in Ipswich.  This property is sold "as is" and could be used as continued residential income or take advantage of HB  usage and build commercial. Your business will thrive at this prime commercially zoned, (HB District). Highway Business district.  HB use is intended for Trade, Retail, and other commercial uses. The  lot has  exposure of + 16k cars daily. This  property offers 175' of frontage with dry, level ,upland and option of mixed use. Located across from a busy shopping center, bank, and restaurants. Ideal for builders and businesses. Easy access from Rt 1A. Town of Ipswich will allow 8k sq ft footprint, up to three stories high. While you are obtaining permits from the town, maintain  good multi rental income. Buyers to perform their own due diligence.|14|8/11/2020 12:05:00 PM|0|N||A|2|2|8|0|10|0.46|0|1693|Essex|MA|1910|381600|5350.03|2020|4|2|0||2f;0h|N||||Y||||||N
MF|72711676|CN209507|AC0756|PCG|1150000|11|Oak Terrace||15|OKG|02148|N|Seller is MOTIVATED! Seller offering one year home warranty! Conveniently located less than a mile from Malden Station, and close to restaurants, shopping centers and grocery stores. Located about a twenty minute drive from Boston, Cambridge and Somerville, this three family home is on a private way with a large driveway and a quiet and scenic backyard. The character and charm of this home is an absolute must see. Starting with the wraparound front porch. The windows, water heaters and electrical are updated. The architectural excellence put into the hardwood floors, woodwork, molding and arches are eye catching. Curved glass and two sets of pocket doors in the home give you the upscale feel of when the home was built. The basement features an updated studio unit that is 1200 square feet. The basement also has laundry and storage separate from the studio unit. This home literally has too many features to list! This home has outstanding rental potential and room for expansion.|20|10/29/2020 10:49:00 PM|0|N||B|3|4|13|0|6|6490|0.15|3800|Middlesex|MA|1925|805100|7989.88|2020|6|4|0|A,D|4f;0h|N||N||Y||Y|||B|N
MF|72712155|K9503120|AN4364|ACT|245000|355-357|Main St||416||01037|N|2 Family in Gilbertville section of Hardwick.  Both units are occupied.  This is a great location for commuters to Worcester or Springfield!  Each unit has 4 bedrooms and plenty of storage area.  Separate utilities for each unit.  If you are looking for an investment property here is your opportunity!|15|8/19/2020 10:01:00 AM|0|N||F|2|2|14|0|4|8276|0.19|4506|Worcester|MA|1952|133800|2138.12|2020|8|4|0|G|4f;0h|N||N||Y|N|||D|A,C,E|N
MF|72716134|TM320770|M95356|PCG|1750000|703|Central St||46||01701|U|Extraordinary property consisting of a 5.37 mostly level acres compound of potentially (with town permission) build able space together with a large mansion house currently housing 6 units and a carriage house with two units. MLS does not allow for enough space for all units so "Unit 1" denotes Main House rooms, "Unit 2" denotes carriage house.|15|8/26/2020 4:17:00 PM|0|N||E|8|3|32|0|15|233481|5.36|7092|Middlesex|MA|1883|1366500|20754|2018|15|8|0||8f;0h|Y|D|||N|||2 Properties on compound|||U
MF|72724247|E9500068|E31301|BOM|262600|41|Clement Street||519|07C|01370|N|Now is the time to own or invest in Shelburne Falls. Low interest rates, plus additional income, make this 3-family home a great opportunity. Located in the heart of the historic Village of Shelburne Falls, and minutes to all downtown attractions. The excellent rental history would make a perfect owner occupy or long term investment. The largest apartment has a kitchen, livingroom, 3 bedrooms, office space, 1.5 baths and occupys the sunny 2nd and 3rd floors. Two, one-bedroom apartments are located on the first level and all units have access to the wonderful back yard. There are 2 brand new propane boilers, separate electrical panels, 3 hot-water heaters, plus 3 stoves and 3 refrigerators are included in the sale. Additional amenities include, town water, town sewer, parking and internet availability, plus, the lower rear apartment has been de-leaded. Great opportunity to live and work in a classic New England town while others pay the mortgage! Showings scheduled at 3 Open Houses.|42|9/10/2020 3:19:00 PM|0|N||J|3|3|12|0|4|15682|0.36|2241|Franklin|MA|1850|173800|3100|2021|5|3|1|A,B,C,G,L,Q,R|3f;1h|N||N||Y||||D,M|A,C,E,I|N
MF|72725054|TM323824|AN6607|ACT|289900|223|Acushnet Ave||156|23D|02740|N|PRICE DROP!!!*** Great investment property. Buyers looking to own and occupy with financing urged to place offers as well. Seller willing to negotiate terms if needed for potential buyers' financing. Units all have large rooms. Units all have large rooms. Additional storage room on first level. Shared backyard and off road parking. Roof partially redone 6 years ago. More photos to come. All units currently rented. Also available as package deal, see disclosures.|1|9/11/2020 3:23:00 PM|0|N||A|2|2|10|0|2|5519|0.13|2903|Bristol|MA|1874|289200|4673|2020|6|2|0||2f;0h|N||N||Y||||||N
MF|72725072|BB953837|AC0342|ACT|1599900|224|Main St||341||01969|N|Investor / Developer Opportunity!       Located in the Central Business District this home is mixed use and could possibly be developed into multiple residential units.  Similar properties in Rowley have recently been developed into condos.  The Commercial building is currently two commercial heated and air conditioned units but would need to have separate meters installed.    The homes exterior was restored approximately ten years ago with Hardie Plank siding, an architectural shingled roof, wooden shutters and Jeld-Wen windows. The main residence has a beautifully updated kitchen with tiger maple cabinets and granite and the apartment kitchen also has custom cabinetry and granite. There are 8 fireplaces, high ceilings and good sized closets. The property consists of the the main residence, apartment & Commercial spaces totaling 9,090 square feet and a storage building sited on a corner 1.38 acre lot with great exposure.  $10,900 rental income potential.|42|11/15/2020 10:15:00 AM|0|N||C|4|2|18|0|20|60112|1.38|9722|Essex|MA|1805|873600|13000|2020|6|2|3|B,L,Q|2f;3h|N||N||Y|||5942 of the living area is the commercial space|H|A|N
MF|72725216|CT005588|AC2395|CTG|1260000|34|Grant St.||17|WTH|02145|N|Potential condo conversion,  large and spacious 3 family house in winter hill area.  large basement with  high ceiling, potential gym, bar and recreation, office, etc.,   many improvements such as bathroom, kitchen cabinet, furnace etc. and well maintained,  near Assembly Square and walking distance to the proposed green line extension. Good for home owners and investors.  Estimate income 82,500-96,000 gross a year.       Appliances such as stove, refrigerator and washer and dryer are included in the sales.  Common areas at the back of the property, for summer barbecue, children playground etc.        Open house   May 22, 10:45am-1:00pm  and May 23, 10:00am to 1:00pm.   Mask required.|36|9/19/2020 5:49:00 AM|0|N||B|3|3|17|0|0|6029|0.14|3912|Middlesex|MA|1885|829300|8367.64|2020|7|3|0|A|3f;0h|N||N||Y|||||A|N
MF|72727186|NB115348|AC1908|ACT|549941|13|Aetna St||401|UHL|01604|N|Located minutes away from the new Woo Sox baseball Stadium this multi family has been well taken care of. Market rate rents make this a great investment opportunity. This is a 12 bed 3 bath multi family located directly behind Worcester Academy.  The location is privy to many area amenities and located near major routes/highways. Great commuter location. Offers due Monday 3/15/21 by 5PM. Open House from 12pm - 1pm Saturday 3/13/21|3|9/16/2020 12:45:00 PM|0|N||B|3|3|18|0|0|3648|0.08|4644|Worcester|MA|1890|281900|4792|2020|12|3|0|A|3f;0h|N||||Y||||D|A|N
MF|72727223|CN239021|AN6145|ACT|2395000|97|Commercial Street||114||02657|N|Rare offering on the waterfront in the heart of the West End! This 3 family home has been lovingly maintained and consists of 3 one-bedroom apartments. The building received a major renovation over the past 12 years, beginning with a rebuilt pier foundation, the addition of wave attenuators, a complete gut renovation of the top floor unit and most recently the rebuilding of an outside wall. The premier upper unit is an airy open floor plan with a vaulted ceiling and features blond maple floors, a gourmet chef's kitchen with quartz counters and Viking appliances, a separate bedroom area with beamed ceiling, a spacious loft great for a home work space, tiled shower bath, AC, attic storage, and in unit laundry. The upper level enjoys two private decks for outside living, one on the water and one on the street side. Downstairs, 2 one bedroom units both have beautiful views of the water and feature wood floors and AC. A common laundry and storage room service both units. Parking for 3 cars|42|9/16/2020 1:02:00 PM|0|N||B|3|2|7|0|3|4016|0.09|1789|Barnstable|MA|1850|2483700|18353.42|2021|3|3|0||3f;0h|Y|F|Y|A|N||||||N
MF|72729237|CN207416|E31301|ACT|210000|2|Earl Ave||511||01301|N|This 2 family has been very well cared for with wonderfully open and bright units. Beautiful hardwood floors, and replacement windows. The first floor has a living room,1 large bedroom, full bath, dining room, and a large kitchen with a bonus space that's perfect for an office. The second floor has a slightly different layout, it has 1 bedroom, large living room, large walk-in closet, full bath, dining room, and a kitchen. Located on a dead end street this 2 family home would be a great investment opportunity.|19|9/18/2020 5:23:00 PM|0|N||G|2|2|10|2|3|5001|0.11|2008|Franklin|MA|1900|150900|3460|2020|2|2|0|A,I|2f;0h|N||N||Y|N|||D,J|A,C,E|N
MF|72729922|M9502211|NB4816|ACT|449000|82|Springfield Street||857||01013|N|A rare opportunity to purchase a six-family home that is fully-occupied and located close to downtown Chicopee! This multi-family is close to many area amenities such as shopping, local eateries and much more! The units features three floors. The first floor has two one-bedroom apartments and two studio apartments. The second and third floor compromise of two two-bedroom apartments. The property can also be purchased in a package deal with MLS #72729927.|7|9/21/2020 1:54:00 PM|0|N||P|6|3|18|0|10|4950|0.11|4348|Hampden|MA|1900|0|4958.64|2020|6|6|0|A|6f;0h|N||||Y|||||A,C,E|N
MF|72729927|M9502211|NB4816|ACT|299000|76|Springfield Street||857||01013|N|A rare opportunity to purchase a four-family home that is fully-occupied and located close to downtown Chicopee! This multi-family is close to many area amenities such as shopping, local eateries and much more! There are four studio apartments on the interior. The property can also be purchased in a package deal with MLS #72729922.|7|9/21/2020 2:04:00 PM|0|N||C|4|2|8|0|10|5840|0.13|2640|Hampden|MA|1850|0|3163.75|2020|4|4|0|A|4f;0h|N||||Y|||||A,C,E|N
MF|72729947|BB801833|AN2606|ACT|849900|88|Maverick St||1|019|02128|N|Attention developers, investors, experienced and adventurous buyers, 88 Maverick Street is waiting for you. This multi-family brick row house is brimming with potential. While it needs plenty of updating, it offers so much more in the way of potential and opportunity. There is a very tall basement area that would make great additional space. Situated in one of East Bostons most vibrant and coveted neighborhoods, right near Maverick Square, Maverick Station and the Blue Line. Put your signature touches on this fantastic property.|7|9/21/2020 2:31:00 PM|0|N||A|3|2|10|0|1|1000|0.02|1580|Suffolk|MA|1900|370000|3907|2020|3|3|0|A,F,G|3f;0h|N||N||Y|||Does not include basement||A|N
MF|72731323|E9500721|NB4514|ACT|525000|62 & 64|Main Street||517||01339|N|Seller has Planning Bd. approval to split the property if that meets buyer's needs.What an opportunity! In the first building UPSTAIRS find two 1-bedrm APARTMENTS under construction. All framed, rough plumbg inspected & rough electric. Kitchen cabinets in crates. WAIT, that's not all! The 3.2 acres has 292' of FRONTAGE on the DEERFIELD RIVER & a 2 bedroom HOUSE (40x28), a rental, w. open k/dng, a 1st flr bedrm, lots of natural light & river view . Basement has concrete floor w radiant ht, good light, 2nd bthrm plumbed, & 2 walkout exits.1st building is currently used as a gas station & convenience store w.space for merchandise, a wall of refrigeration, & a kitchen in the making. A 22x31 adjacent rm w a separate entrance could  be rented to another business. What a package & possibilities! A place to live, work, & collect rent & your customers are in town skiing, 3 rafting companies, ziplining,  mt coaster &biking, fishg & more...yr. round recreation center 30 min W of Rt.91 WATCH VIDEO|28|9/24/2020 11:14:00 AM|0|N||B|3|2|8|0|15|139392|3.2|1400|Franklin|MA|0|335900|6879.23|2021|4|3|0|B,E,F,G,M,R|3f;0h|Y|D,I,J,Q,R,U,V|Y|N,P|Y|||For the house. Aptms. are 530 & 640.|B|A,C,E,I|N
MF|72732812|CT005585|AN3697|ACT|825000|39|Clifford St||1||02119|N|Renovation just completed. Classic victorian house on fenced lot perfectly positioned on one way side street with walking distance to shopping and public transit. This full of light house features 6 large bedrooms, 2 kitchens with stainless steel appliances, 2 full brand new bathrooms and pantries, refinished gleaming hardwood floors, large windows, high ceilings, stunning staircase, crown moldings, brand new carpet on 3d floor, skylights, large deck and porch, attic and full basement. Entire house was freshly painted. multiple updates including new plumbing, electric, fence, new mud room, newer furnace. Large driveway with 4 parking spots. Close proximity to South End, Back Bay, Boston Medical, North Eastern University, College area, Longwood, Mass Av , Downtown Boston. Perfect investment or owner occupied property with great income potential in hot Boston area!|31|4/19/2021 9:43:00 AM|0|N||A|2|2|10|0|6|6600|0.15|3050|Suffolk|MA|1920|382900|4043|2020|6|2|0||2f;0h|N||||Y|||2 additional BRs added on 3rd FL, not yet reflected on PR|||N
MF|72733008|G0000504|G43500|ACT|2500000|189|Atlantic Ave||345|SBE|01952|N|Once in a lifetime opportunity. Do not hesitate. Review the value of each building and each unit. Look very closely at what you are about to own: Right on the beachfront with direct, unrestricted access to the majestic Atlantic Ocean. In addition, you not only get outstanding ocean views with beautiful sunrises but also some of the most spectacular views of the Merrimack River, the Great Salt Marsh, along with stunning sunsets. No one can ever build to the east or west of your new property, taking away any of the aforementioned views. This is not a property that consists of small units. There are two large four-unit buildings, six units w/3 bedrooms each and two units w/2 bedrooms each for 22 total bedrooms. A great investment opportunity with potential rental income in the range of $160-$200K. This property can also be converted to 8 condominiums. The two main units alone would be valued between $550-$650K. each. Reach out for more details and further information.|40|9/25/2020 6:58:00 PM|0|N||E|8|3|58|2|9|7500|0.17|6282|Essex|MA|1985|916200|10500|2020|22|10|0|A|10f;0h|Y|A|Y|J|Y||||||N
MF|72733158|K0001623|AN6245|ACT|499000|122|Belmont St||401|BMH|01605|N|1st floor and basement for 1st showing.   2nd and 3rd floor after accepted offer  Great location across from UMASS Memorial, near I-290 and R 9.   Big apartments 6-6-6, each has 3 bedrooms. Roof 8 years old, Furnace for 1st floor 2 years old, furnace for 2nd floor 3 years old. Water tank for 1st floor 1 year old. New vinyl windows, Lead paint certified treated. Coin-op laundry in basement give around $100 monthly.|6|9/26/2020 1:07:00 PM|0|N||B|3|3|18|0|5|5639|0.13|4170|Worcester|MA|1909|262400|4460.8|2021|9|3|0|A|3f;0h|N||N||Y|N|||D,F|A,E|N
MF|72733522|G7000074|AN2660|ACT|1499000|799|Shirley St||21||02152|N|**ONCE IN A LIFETIME OPPORTUNITY**UNOBSTRUCTED OCEAN VIEWS** A large 2 family on the ocean watch the sunrise and sunset everyday from every room in the house. Direct ocean access on your property, or walk across the street to Yirrell Beach. A 4 season cabana in your back yard. Both Units have working fireplaces and been extensively re modeled with  updated systems. Off street parking for 5 vehicles!|42|1/19/2021 10:42:00 AM|0|N||A|2|3|10|0|5|10436|0.24|3115|Suffolk|MA|1902|717200|9051|2020|5|2|0|A|2f;0h|Y|A|Y|H,J|Y|||||A|N
MF|72733558|G0003000|AN5558|ACT|1700000|263|South St||47||01746|N|This 5,885 square foot 5 Unit apartment building (3 two bedroom units and 2 three bedroom units) is located in a beautiful, private location, abutting 26 acres of conservation land and the Holliston bike trail. Although the current use is as a 100% occupied (no payment delinquencies whatsoever in 6 years of ownership), apartment building, this listing is specifically for parties interested in condo conversion. All utilities separated except water in 2 units only. NOT for parties interested in only passive rental income, as the rental income will not support a price above $1.4 million  too low. Also includes a free-standing 6 bay garage building with a Great Room above it, and in-ground pool and pool house (both currently closed and in need of renovation). Additional units may be developed with a special permit, possibly above the freestanding garage building.|13|9/28/2020 11:27:00 AM|0|N||P|5|3|19|9|5|126324|2.9|5885|Middlesex|MA|1981|1173100|22113|2020|12|6|0|M,Q|6f;0h|N||||Y||||D|A,C|N
MF|72735800|E0000BTM|E21201|ACT|385500|7|W Main Street||505||01344|N|Turnkey 28-seat cafi with stainless steel appliances,butcher block tables, quartz bar top with eight taps and walk-in directly behind, fixed automatic generator, plentiful parking. A  full liquor license that sits directly across the street from the Millers river and a new park with a bandshell all 2.5 miles from the notable Farley "sport-climbing' ledges. This newly rehabbed building also houses a 1 st floor one bedroom apartment and on the 2nd and 3 rd floors is a three bedroom apartment both with great rental history in the beautiful town center of Erving where taxes are low and you get free weekly trash pickup as well annual leaf and "Anything Goes" pickup.|20|10/1/2020 1:38:00 PM|0|N||A|3|3|8|0|20|13503|0.31|2840|Franklin|MA|1948|275000|2073.5|2020|4|2|1|A|2f;1h|N||N||Y||||D|A|N
